                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.55612,                0.38229,                0.90528,                0.96934,                      1,                  0.995,                0.93766,                0.35609,                0.30014,                0.78965,               0.001307,               0.001307,               0.001307
                     38,                0.54083,                0.36353,                0.90138,                0.99791,                      1,                  0.995,                0.90418,                0.40999,                0.29774,                0.80867,              0.0012872,              0.0012872,              0.0012872
                     39,                0.54934,                0.38785,                0.89696,                0.99614,                      1,                  0.995,                0.92209,                0.40752,                0.32959,                0.81325,              0.0012674,              0.0012674,              0.0012674
                     40,                0.55944,                 0.3758,                0.91028,                0.99145,                      1,                  0.995,                0.88592,                 0.4605,                0.37321,                0.83049,              0.0012476,              0.0012476,              0.0012476
                     41,                0.52645,                0.36794,                0.89717,                  0.993,                      1,                  0.995,                0.94059,                0.36336,                0.40618,                0.79954,              0.0012278,              0.0012278,              0.0012278
                     42,                0.51789,                0.35217,                0.88809,                0.99475,                      1,                  0.995,                0.91661,                0.42609,                0.34617,                0.82084,               0.001208,               0.001208,               0.001208
                     43,                0.54765,                0.36651,                 0.9224,                0.99817,                      1,                  0.995,                0.95418,                0.36526,                0.31579,                0.80548,              0.0011882,              0.0011882,              0.0011882
                     44,                0.54019,                0.36729,                0.91582,                0.99514,                      1,                  0.995,                0.91155,                0.39697,                0.35253,                0.82207,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.5263,                0.36625,                0.89817,                  0.997,                      1,                  0.995,                 0.9437,                0.33246,                0.28757,                0.79226,              0.0011486,              0.0011486,              0.0011486
                     46,                0.54882,                0.38471,                  0.937,                0.99574,                      1,                  0.995,                0.92995,                0.35016,                0.28407,                0.79699,              0.0011288,              0.0011288,              0.0011288
                     47,                0.50465,                0.35318,                0.89623,                0.99467,                      1,                  0.995,                0.92966,                0.35713,                0.31522,                0.79635,               0.001109,               0.001109,               0.001109
                     48,                0.52273,                0.36412,                0.89271,                0.99382,                      1,                  0.995,                0.92893,                0.35773,                0.29404,                0.80291,              0.0010892,              0.0010892,              0.0010892
                     49,                0.52793,                0.34918,                0.91427,                0.99568,                      1,                  0.995,                0.92756,                0.35817,                0.27202,                0.79666,              0.0010694,              0.0010694,              0.0010694
                     50,                0.49368,                 0.3365,                0.88592,                0.99739,                      1,                  0.995,                0.94219,                0.36328,                0.26353,                 0.8007,              0.0010496,              0.0010496,              0.0010496
                     51,                0.49415,                0.31356,                0.89641,                0.99806,                      1,                  0.995,                0.93676,                0.36779,                 0.2641,                0.80036,              0.0010298,              0.0010298,              0.0010298
                     52,                0.50026,                0.33271,                0.88623,                0.99751,                      1,                  0.995,                0.95548,                0.34639,                0.26089,                0.79602,                0.00101,                0.00101,                0.00101
                     53,                0.49523,                0.34642,                0.90676,                0.99558,                      1,                  0.995,                 0.9504,                 0.3541,                0.27134,                0.79843,              0.0009902,              0.0009902,              0.0009902
                     54,                0.50358,                0.33048,                0.88196,                 0.9914,                      1,                  0.995,                0.93686,                0.37017,                0.27387,                0.80368,              0.0009704,              0.0009704,              0.0009704
                     55,                0.45896,                0.31534,                0.87085,                0.99234,                      1,                  0.995,                0.95194,                0.30805,                0.24502,                0.78903,              0.0009506,              0.0009506,              0.0009506
                     56,                0.46705,                0.32176,                0.88341,                0.96636,                      1,                0.99219,                0.92986,                0.35278,                0.26472,                0.80029,              0.0009308,              0.0009308,              0.0009308
                     57,                0.47555,                0.32346,                0.86853,                0.98886,                      1,                  0.995,                0.94648,                0.34747,                0.25713,                0.79532,               0.000911,               0.000911,               0.000911
                     58,                0.46978,                0.31861,                0.87476,                0.98888,                      1,                  0.995,                 0.9452,                0.37008,                0.27594,                0.79799,              0.0008912,              0.0008912,              0.0008912
                     59,                0.48866,                0.31672,                0.88911,                0.99741,                      1,                  0.995,                0.94212,                 0.3574,                0.25646,                0.79103,              0.0008714,              0.0008714,              0.0008714
                     60,                0.46311,                0.32334,                0.88116,                0.99742,                      1,                  0.995,                0.94189,                0.36233,                0.25062,                 0.7955,              0.0008516,              0.0008516,              0.0008516
                     61,                0.46917,                0.31172,                0.87634,                0.99794,                      1,                  0.995,                0.96117,                0.34069,                0.26089,                0.79479,              0.0008318,              0.0008318,              0.0008318
                     62,                0.45564,                0.30089,                 0.8767,                0.99769,                      1,                  0.995,                0.97308,                0.31873,                0.24748,                0.78709,               0.000812,               0.000812,               0.000812
                     63,                0.48125,                0.30467,                0.89275,                0.99791,                      1,                  0.995,                0.92538,                0.36877,                0.24181,                0.79856,              0.0007922,              0.0007922,              0.0007922
                     64,                0.45707,                0.29623,                0.87731,                0.99809,                      1,                  0.995,                0.95249,                0.33859,                 0.2483,                0.78913,              0.0007724,              0.0007724,              0.0007724
                     65,                0.44881,                0.30233,                0.86905,                0.99806,                      1,                  0.995,                0.95239,                0.35504,                0.25759,                0.79013,              0.0007526,              0.0007526,              0.0007526
                     66,                0.46473,                0.30772,                0.87413,                0.99803,                      1,                  0.995,                0.95891,                0.35599,                0.24741,                0.78925,              0.0007328,              0.0007328,              0.0007328
                     67,                0.47216,                0.30328,                 0.8712,                0.99751,                      1,                  0.995,                0.96009,                0.33449,                0.23915,                0.78282,               0.000713,               0.000713,               0.000713
                     68,                0.44202,                0.29351,                0.86934,                0.99138,                      1,                  0.995,                0.96484,                0.32633,                0.24762,                0.78886,              0.0006932,              0.0006932,              0.0006932
                     69,                0.45218,                0.28955,                0.87426,                0.99467,                      1,                  0.995,                0.95785,                0.33365,                0.24999,                0.79044,              0.0006734,              0.0006734,              0.0006734
                     70,                  0.424,                0.28467,                0.85308,                0.99651,                      1,                  0.995,                0.94205,                0.35348,                0.24842,                0.79831,              0.0006536,              0.0006536,              0.0006536
                     71,                0.43764,                0.28777,                 0.8667,                0.99793,                      1,                  0.995,                0.93745,                0.35628,                0.24179,                0.79609,              0.0006338,              0.0006338,              0.0006338
                     72,                0.45317,                0.29065,                  0.871,                0.99819,                      1,                  0.995,                0.94354,                0.34096,                0.22467,                0.79286,               0.000614,               0.000614,               0.000614
                     73,                0.40803,                 0.2718,                0.87296,                0.99818,                      1,                  0.995,                0.95692,                0.33707,                0.23139,                0.79785,              0.0005942,              0.0005942,              0.0005942
                     74,                0.43968,                0.28665,                0.87754,                0.99811,                      1,                  0.995,                0.96797,                0.31703,                0.22467,                   0.79,              0.0005744,              0.0005744,              0.0005744
                     75,                0.40642,                0.27178,                0.84988,                0.99808,                      1,                  0.995,                0.95258,                0.32299,                0.23582,                0.78843,              0.0005546,              0.0005546,              0.0005546
                     76,                0.44974,                0.27711,                0.86964,                0.99811,                      1,                  0.995,                0.94764,                 0.3314,                0.22997,                0.79362,              0.0005348,              0.0005348,              0.0005348
                     77,                0.41722,                0.27185,                 0.8705,                 0.9981,                      1,                  0.995,                0.96563,                0.31647,                0.22753,                0.78833,               0.000515,               0.000515,               0.000515
                     78,                0.44257,                0.28515,                0.87219,                 0.9982,                      1,                  0.995,                0.97338,                0.30904,                0.23135,                0.78706,              0.0004952,              0.0004952,              0.0004952
                     79,                0.42284,                0.27785,                0.86704,                 0.9981,                      1,                  0.995,                 0.9711,                0.31839,                0.23924,                0.79037,              0.0004754,              0.0004754,              0.0004754
                     80,                0.43822,                0.28616,                0.87977,                 0.9981,                      1,                  0.995,                0.95914,                0.31325,                0.22015,                0.79013,              0.0004556,              0.0004556,              0.0004556
                     81,                0.42174,                0.26714,                0.85551,                0.99811,                      1,                  0.995,                 0.9566,                0.32564,                0.22239,                0.79347,              0.0004358,              0.0004358,              0.0004358
                     82,                0.42628,                 0.2792,                0.86763,                 0.9981,                      1,                  0.995,                 0.9456,                0.33769,                0.22593,                0.79151,               0.000416,               0.000416,               0.000416
                     83,                0.40829,                0.26128,                0.85845,                0.99805,                      1,                  0.995,                0.96743,                0.32161,                0.21993,                0.78774,              0.0003962,              0.0003962,              0.0003962
